date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:49:40	422/422	---M-Z	302	error ('Found')	text/html	date:Sat,%2024%20Dec%202022%2007:49:40%20GMT	https://one.open-int-bank.com/credit-card	/home/dick/websites/dede/one.open-int-bank.com/credit-card	(from https://one.open-int-bank.com/fr/credit-card)
08:49:41	3298/3298	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Dec%202022%2007:49:41%20GMT	https://one.open-int-bank.com/fr/password/reset	/home/dick/websites/dede/one.open-int-bank.com/fr/password/reset.html	(from https://one.open-int-bank.com/fr/login)
08:49:42	0/-1	---M--	302	error ('')			https://one.open-int-bank.com/faq	/home/dick/websites/dede/one.open-int-bank.com/faq.280.delayed	(from https://one.open-int-bank.com/fr/faq)
08:49:42	0/-1	---M--	302	error ('')			https://one.open-int-bank.com/privacy-policy	/home/dick/websites/dede/one.open-int-bank.com/privacy-policy.281.delayed	(from https://one.open-int-bank.com/fr/privacy-policy)
08:49:42	0/-1	---M--	302	error ('')			https://one.open-int-bank.com/request-form	/home/dick/websites/dede/one.open-int-bank.com/request-form.282.delayed	(from https://one.open-int-bank.com/fr/request-form)
08:49:42	0/-1	---M--	302	error ('')			https://one.open-int-bank.com/banking/current-account	/home/dick/websites/dede/one.open-int-bank.com/banking/current-account.283.delayed	(from https://one.open-int-bank.com/hu/banking/current-account)
08:49:42	466/466	---M-Z	302	error ('Found')	text/html	date:Sat,%2024%20Dec%202022%2007:49:42%20GMT	https://one.open-int-bank.com/banking/saving-account	/home/dick/websites/dede/one.open-int-bank.com/banking/saving-account	(from https://one.open-int-bank.com/hu/banking/saving-account)
08:49:43	466/466	---M-Z	302	error ('Found')	text/html	date:Sat,%2024%20Dec%202022%2007:49:43%20GMT	https://one.open-int-bank.com/banking/mobile-banking	/home/dick/websites/dede/one.open-int-bank.com/banking/mobile-banking	(from https://one.open-int-bank.com/hu/banking/mobile-banking)
08:49:44	0/-1	---M--	302	error ('')			https://one.open-int-bank.com/loans-and-credits	/home/dick/websites/dede/one.open-int-bank.com/loans-and-credits.286.delayed	(from https://one.open-int-bank.com/hu/loans-and-credits)
08:49:44	418/418	---M-Z	302	error ('Found')	text/html	date:Sat,%2024%20Dec%202022%2007:49:44%20GMT	https://one.open-int-bank.com/investment	/home/dick/websites/dede/one.open-int-bank.com/investment	(from https://one.open-int-bank.com/hu/investment)
